iata,name,city,state,country,lat,long,dst,tz,utc_offset
LPC,Lompoc Airport,Lompoc,CA,USA,34.66561028,-120.4667883,A,America/Los_Angeles,-7.0
LSN,Los Banos Municipal,Los Banos,CA,USA,37.06290556,-120.8692511,,America/Los_Angeles,-7.0
LVK,Livermore Municipal Airport,Livermore,CA,USA,37.69339944,-121.8203519,A,America/Los_Angeles,-7.0
MAE,Madera Municipal Airport,Madera,CA,USA,36.9857175,-120.1119844,A,America/Los_Angeles,-7.0
MCE,Merced Regional Macready Field,Merced,CA,USA,37.28472861,-120.5138858,A,America/Los_Angeles,-7.0
MER,Castle Airport,Atwater,CA,USA,37.38048056,-120.5681889,A,America/Los_Angeles,-7.0
MHR,Sacramento Mather Airport,Sacramento,CA,USA,38.55389694,-121.2975908,A,America/Los_Angeles,-7.0
MHV,Mojave Airport,Mojave,CA,USA,35.05936472,-118.1518561,A,America/Los_Angeles,-7.0
MIT,Shafter-Minter ,Shafter,CA,USA,35.50592944,-119.1915236,,America/Los_Angeles,-7.0
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62404861,-118.8377722,A,America/Los_Angeles,-7.0
MOD,Modesto City Co-Harry Sham Field,Modesto,CA,USA,37.62581722,-120.95442140000002,A,America/Los_Angeles,-7.0
MRY,Monterey Peninsula Airport,Monterey,CA,USA,36.5869825,-121.8429478,A,America/Los_Angeles,-7.0
MYF,Montgomery ,San Diego,CA,USA,32.81573306,-117.1395664,,America/Los_Angeles,-7.0
MYV,Yuba County Airport,Marysville,CA,USA,39.09777278,-121.569825,A,America/Los_Angeles,-7.0
O02,Nervino,Beckwourth,CA,USA,39.82073556,-120.3543767,,America/Los_Angeles,-7.0
O05,Rogers ,Chester,CA,USA,40.28235278,-121.2411683,,America/Los_Angeles,-7.0
O08,Colusa County,Colusa,CA,USA,39.17903,-121.9933611,,America/Los_Angeles,-7.0
O09,Round Valley,Covelo,CA,USA,39.79015444,-123.26640249999998,,America/Los_Angeles,-7.0
O15,Turlock Municipal,Turlock,CA,USA,37.48743556,-120.6968669,,America/Los_Angeles,-7.0
O16,Garberville,Garberville,CA,USA,40.08597806,-123.8136397,,America/Los_Angeles,-7.0
O17,Nevada County  Air Park,Grass Valley,CA,USA,39.22402778,-121.0030833,,America/Los_Angeles,-7.0
O19,Kneeland,Eureka,CA,USA,40.7193,-123.9275531,,America/Los_Angeles,-7.0
O21,Hoopa,Hoopa,CA,USA,41.04290778,-123.6683894,,America/Los_Angeles,-7.0
O22,Columbia,Columbia,CA,USA,38.03042306,-120.4145556,,America/Los_Angeles,-7.0
O24,Lee Vining,Lee Vining,CA,USA,37.95825861,-119.1065375,,America/Los_Angeles,-7.0
O26,Lone Pine,Lone Pine,CA,USA,36.58826667,-118.0520314,,America/Los_Angeles,-7.0
O27,Oakdale,Oakdale,CA,USA,37.75634472,-120.80020890000002,,America/Los_Angeles,-7.0
O28,Ells Field-Willits Municipal,Willits,CA,USA,39.45129778,-123.3722844,,America/Los_Angeles,-7.0
O31,Healdsburg Municipal,Healdsburg,CA,USA,38.65352083,-122.89943970000002,,America/Los_Angeles,-7.0
O32,Reedley Municipal,Reedley,CA,USA,36.66633917,-119.4498483,,America/Los_Angeles,-7.0
O37,Haigh ,Orland,CA,USA,39.72124194,-122.1466508,,America/Los_Angeles,-7.0
O41,Watts-Woodland,Woodland,CA,USA,38.67387639,-121.8720772,,America/Los_Angeles,-7.0
O42,Woodlake,Woodlake,CA,USA,36.39883833,-119.1073289,,America/Los_Angeles,-7.0
O46,Weed,Weed,CA,USA,41.47487,-122.4530739,,America/Los_Angeles,-7.0
O48,Little River,Little River,CA,USA,39.26203778,-123.7537347,,America/Los_Angeles,-7.0
O52,Sutter County,Yuba City,CA,USA,39.12655889,-121.6091328,,America/Los_Angeles,-7.0
O54,Lonnie Pool /Weaverville,Weaverville,CA,USA,40.7457,-122.92197,,America/Los_Angeles,-7.0
O57,Bryant ,Bridgeport,CA,USA,38.26241917,-119.2257094,,America/Los_Angeles,-7.0
O59,Cedarville,Cedarville,CA,USA,41.55267139,-120.1663339,,America/Los_Angeles,-7.0
O60,Cloverdale Municipal,Cloverdale,CA,USA,38.7743525,-122.9922217,,America/Los_Angeles,-7.0
O61,Cameron Airpark,Cameron Park,CA,USA,38.68407028,-120.9871642,,America/Los_Angeles,-7.0
O68,Mariposa-Yosemite,Mariposa,CA,USA,37.51077,-120.0418439,,America/Los_Angeles,-7.0
O69,Petaluma Municipal,Petaluma,CA,USA,38.2578325,-122.6055406,,America/Los_Angeles,-7.0
O70,Westover Field Amador County,Jackson,CA,USA,38.37680111,-120.7939075,,America/Los_Angeles,-7.0
O81,Tulelake Municipal,Tulelake,CA,USA,41.88738,-121.3594331,,America/Los_Angeles,-7.0
O85,Benton ,Redding,CA,USA,40.57487278,-122.4080642,,America/Los_Angeles,-7.0
O86,Trinity Center,Trinity Center,CA,USA,40.98320111,-122.6941889,,America/Los_Angeles,-7.0
O88,Rio Vista Municipal,Rio Vista,CA,USA,38.1935,-121.7023889,,America/Los_Angeles,-7.0
O89,Fall River Mills,Fall River Mills,CA,USA,41.01877417,-121.4333136,,America/Los_Angeles,-7.0
OAK,Metropolitan Oakland International Airport,Oakland,CA,USA,37.72129083,-122.2207167,A,America/Los_Angeles,-7.0
OAR,Marina Municipal Airport,Marina,CA,USA,36.68190278,-121.7624492,A,America/Los_Angeles,-7.0
OKB,Oceanside Municipal,Oceanside,CA,USA,33.21797639,-117.3515075,,America/Los_Angeles,-7.0
ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.6011944,A,America/Los_Angeles,-7.0
OVE,Oroville Municipal,Oroville,CA,USA,39.48775,-121.622,,America/Los_Angeles,-7.0
OXR,Oxnard Airport,Oxnard,CA,USA,34.20080083,-119.2072164,A,America/Los_Angeles,-7.0
PAO,Palo Alto Airport of Santa Clara County,Palo Alto,CA,USA,37.46111944,-122.11504440000002,A,America/Los_Angeles,-7.0
PMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale,CA,USA,34.62938889,-118.0845528,A,America/Los_Angeles,-7.0
POC,Brackett Field,La Verne,CA,USA,34.09164833,-117.7817803,A,America/Los_Angeles,-7.0
PRB,Paso Robles Municipal Airport,Paso Robles,CA,USA,35.67288611,-120.6270558,A,America/Los_Angeles,-7.0
